playlist_id,playlist_name,playlist_genre,playlist_subgenre
4csIMGPI3aGo3Xy7WG8jBi,Todo Reggaeton,latin,reggaeton
03sDEv7FN58Mb9CJOs1Tgn,Reggaeton 2020 😍 🔥,latin,reggaeton
0si5tw70PIgPkY1Eva6V8f,Reggaeton viejito🔥,latin,reggaeton
37i9dQZF1DWYBUdckfg1va,This Is: Don Omar,latin,reggaeton
3nH8aytdqNeRbcRCg3dw9q,latin hip hop,latin,latin hip hop
2MYEUjX0YAI9dxrBDzoCK7,Latin Hip Hop/Freestyle,latin,latin hip hop
3o3xRXWMtBMezk0E3wmtGI,Chicano Rap,latin,latin hip hop
1KNl4AYfgZtOVm9KHkhPTF,Global Top 50 | 2020 Hits,latin,latin hip hop
3JcJCsvBnRsA6oc7eUYDSB,Latin Village 2019,latin,latin hip hop
0VsVywryrqLhHmsVFVcOAg,Urbano: Latino Vibes,latin,latin hip hop
51LvliKED7oZNJR8XCiPip,Latest Latin American Hits 2020,latin,latin hip hop
6hIDPF658AhRbxr8HN7OeA,Latin Hip Hop & Rap Playlist 2019,latin,latin hip hop
3gV6KQYZKIuoWml0094vx6,Pop 2009-2011,latin,latin hip hop
2rg9LCyvaMQvnCE2hVndpR,Latin/Hip Hop/Dancehall/Soca,latin,latin hip hop
1oReEujyWpQv2OX68BVPPA,80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds),latin,latin hip hop
6a66cg3HcsjYkisYyQcov6,Today's Hits 2000-Present,latin,latin hip hop
7EPbNmUW9nkRplDLSN9te4,VidaLoca - Latin / Raggaeton / Hip Hop ©,latin,latin hip hop
1d0fonZHpN4LYHTKbmNRbm,🔥🦁 GOOD VIBES ONLY 🦁🔥 // BROEDERLIEFDE || FRENNA || BROEDERS || HENKIE T  || BIZZEY || POKE \\,latin,latin hip hop
396llvvFOIB9jgPg0kqNDb,LATIN FLOW MIX - Música Cristiana🎵,latin,latin hip hop
3hR2R6szlkwZeGyclTgHcF,"Hot Latino Mix (Latin, Hip Hop, Rap, RnB, Dancehall, Reggeaton, Afro)",latin,latin hip hop
5fWgI0IJ1el5NB1sZ0Egsx,HIP-HOP: Latin Rap ['89-present],latin,latin hip hop
0SqaMfNsngZCpPw0UuelA7,School Dance 2019 (Squeaky Clean),latin,latin hip hop
2hTs6GuPwhmg4ApNqxWXLE,Los Cangri,latin,latin hip hop
5WNUX6jisX0NRlVDTm6RDd,New Hip Hop‏‏​​   ‍,r&b,urban contemporary
6wyJ4bsjZaUKa9f6GeZlAO,Contemporary Urban,r&b,urban contemporary
4EKXjB5zlv2DpTS84h407H,URBAN NATION,r&b,urban contemporary
